tested,sick,cured,dead,date
0,3,0,0,3/15/2020
0,3,0,0,3/16/2020
0,7,0,1,3/17/2020
0,14,0,2,3/18/2020
0,17,0,3,3/19/2020
0,26,0,3,3/20/2020
0,41,1,3,3/21/2020
0,47,1,3,3/22/2020
0,73,1,3,3/23/2020
0,84,1,3,3/24/2020
0,113,1,4,3/25/2020
0,156,1,5,3/26/2020
0,218,4,5,3/27/2020
0,311,5,8,3/28/2020
0,418,5,9,3/29/2020
0,480,6,11,3/30/2020
0,549,8,13,3/31/2020
0,669,10,17,4/01/2020
0,804,13,20,4/02/2020
0,942,19,23,4/03/2020
0,1096,23,28,4/04/2020
0,1251,25,32,4/05/2020
0,1319,28,38,4/06/2020
6385,1462,28,45,4/07/2020
7205,1668,35,52,4/08/2020
7901,1892,45,57,4/09/2020
23522,2203,61,69,4/10/2020
26577,2511,79,73,4/11/2020
30314,2777,89,83,4/12/2020
32496,3102,97,93,4/13/2020
35153,3372,119,98,4/14/2020
39084,3764,143,108,4/15/2020
42823,4161,186,116,4/16/2020
47096,4662,246,125,4/17/2020
52534,5106,275,133,4/18/2020
57111,5449,347,141,4/19/2020
58093,5710,359,151,4/20/2020
61997,6125,367,161,4/21/2020
67520,6592,424,174,4/22/2020
72296,7170,504,187,4/23/2020
77752,7647,601,193,4/24/2020
83577,8125,782,201,4/25/2020
89373,8617,840,209,4/26/2020
93519,9009,864,220,4/27/2020
98719,9410,992,239,4/28/2020
104544,9866,1103,250,4/29/2020
111859,10406,1238,261,4/30/2020
118545,10861,1413,272,5/01/2020
122752,11411,1498,279,5/02/2020
129723,11913,1548,288,5/03/2020
134592,12331,1619,303,5/04/2020
139759,12597,1875,316,5/05/2020
144283,13184,2097,327,5/06/2020
